ethereum_address,github_username,impact_percentage
0x1D5878059679eFFA13ec0Dc2C894e008307050bc,jo-elimu,57.43
0xEF836b1b90E42c8c69F3cEf628eB10983C10E792,nya-elimu,10.66
0x48Ac1399035bcCE8C7996D8C60E014b9373B3962,sladomic,3.04
0x9D8dC28E9d9C4C5a387A858182edF9ab8B90F565,tuancoltech,2.15
0xb7bCEbD47E00cED9Caf7430A16EBFAc8Ec074380,arvind-1,0.83
0x0000000000000000000000000000000000000000,bojanvu23,0.51
0x0000000000000000000000000000000000000000,bvalbo,0.32
0x1f1319c79F1496357781691a22B1f37dAC9D844F,gscdev,0.25
0x819e4F5E912abb36c8f6c03790e7508e03cc37a3,UmenR,0.11
0x0000000000000000000000000000000000000000,bojanvuCT,0.04
